human_H3K27ac_down.txt	human_H3K27ac_up.txt	human_H3K27me3_down.txt	human_H3K27me3_up.txt	human_H3K4me3_down.txt	human_H3K4me3_up.txt	human_H3K9ac_down.txt	human_H3K9ac_up.txt	human_H3K9me3_down.txt	human_H3K9me3_up.txt
	ENSG00000077254	ENSG00000133067	ENSG00000168872	ENSG00000167608	ENSG00000137491	ENSG00000168395	ENSG00000103175		ENSG00000111775
	ENSG00000175513	ENSG00000163485	ENSG00000125319	ENSG00000108107	ENSG00000085433	ENSG00000202031	ENSG00000103196		ENSG00000022840
	ENSG00000181019	ENSG00000188783	ENSG00000161664	ENSG00000213015	ENSG00000136026	ENSG00000207241	ENSG00000156374		ENSG00000135100
	ENSG00000141101	ENSG00000163531	ENSG00000221844	ENSG00000160752	ENSG00000197780	ENSG00000206630	ENSG00000154102		ENSG00000135124
	ENSG00000175229	ENSG00000184144	ENSG00000165887	ENSG00000196290	ENSG00000015413	ENSG00000202477	ENSG00000175564		ENSG00000149300
	ENSG00000174669	ENSG00000186007	ENSG00000174165	ENSG00000055044	ENSG00000151365	ENSG00000209645	ENSG00000168014		ENSG00000150764
	ENSG00000142867	ENSG00000123685	ENSG00000043822	ENSG00000114942	ENSG00000110887	ENSG00000199961	ENSG00000143107		ENSG00000186141
	ENSG00000161664	ENSG00000077585	ENSG00000140830	ENSG00000144579	ENSG00000076555	ENSG00000199631	ENSG00000085433		ENSG00000170633
	ENSG00000174165	ENSG00000186197	ENSG00000110711	ENSG00000135829	ENSG00000214226	ENSG00000208342	ENSG00000136026		ENSG00000182500
	ENSG00000016490	ENSG00000162849	ENSG00000184517	ENSG00000135931	ENSG00000121058	ENSG00000212232	ENSG00000197780		ENSG00000158104
	ENSG00000137948	ENSG00000162711	ENSG00000198015	ENSG00000168395	ENSG00000168679	ENSG00000200259	ENSG00000111783		ENSG00000110801
	ENSG00000203910	ENSG00000201330	ENSG00000065457	ENSG00000207241	ENSG00000181610	ENSG00000201823	ENSG00000015413		ENSG00000175727
	ENSG00000168928		ENSG00000184752	ENSG00000202477	ENSG00000085465	ENSG00000199785	ENSG00000075035		ENSG00000204671
	ENSG00000168925		ENSG00000120798	ENSG00000199631	ENSG00000111229	ENSG00000206620	ENSG00000183160		ENSG00000111325
	ENSG00000166822		ENSG00000108424	ENSG00000212530	ENSG00000136492	ENSG00000201754	ENSG00000151364		ENSG00000150977
	ENSG00000183196		ENSG00000168040	ENSG00000208342	ENSG00000116752	ENSG00000201669	ENSG00000151365		ENSG00000086598
	ENSG00000135702		ENSG00000184154	ENSG00000200259	ENSG00000166578	ENSG00000207487	ENSG00000110887		ENSG00000184270
	ENSG00000184752		ENSG00000136436	ENSG00000207406	ENSG00000137692	ENSG00000221514	ENSG00000151366		ENSG00000221879
	ENSG00000120798		ENSG00000166153	ENSG00000201823	ENSG00000135097	ENSG00000207437	ENSG00000166111		ENSG00000163125
	ENSG00000023909		ENSG00000103194	ENSG00000199785	ENSG00000157895	ENSG00000202503	ENSG00000121058		ENSG00000143374
	ENSG00000140905		ENSG00000156374	ENSG00000206620	ENSG00000135114	ENSG00000207429	ENSG00000168679		ENSG00000095139
	ENSG00000166473		ENSG00000174990	ENSG00000201754	ENSG00000136480	ENSG00000207496	ENSG00000181610		ENSG00000143457
	ENSG00000135698		ENSG00000175581	ENSG00000201669	ENSG00000089053	ENSG00000200354	ENSG00000085465		ENSG00000176302
	ENSG00000111647		ENSG00000175575	ENSG00000207487	ENSG00000091583	ENSG00000201512	ENSG00000203837		ENSG00000143387
	ENSG00000103175		ENSG00000158545	ENSG00000221514	ENSG00000075429	ENSG00000201487	ENSG00000111229		ENSG00000160695
	ENSG00000165457		ENSG00000139372	ENSG00000207437	ENSG00000139714	ENSG00000200913	ENSG00000134262		ENSG00000149397
	ENSG00000103187		ENSG00000162636	ENSG00000202503	ENSG00000204671	ENSG00000201067	ENSG00000116752		ENSG00000143443
	ENSG00000103196		ENSG00000162139	ENSG00000207047	ENSG00000158113	ENSG00000209804	ENSG00000166578		ENSG00000143398
	ENSG00000156374		ENSG00000085433	ENSG00000201487	ENSG00000137656	ENSG00000200087	ENSG00000135094		ENSG00000159352
	ENSG00000175564		ENSG00000197780	ENSG00000201067	ENSG00000143457	ENSG00000206874	ENSG00000183273		ENSG00000160678
	ENSG00000143107		ENSG00000198382	ENSG00000209804	ENSG00000176302	ENSG00000201838	ENSG00000135097		ENSG00000110063
	ENSG00000136010		ENSG00000185324	ENSG00000200087	ENSG00000143387	ENSG00000207421	ENSG00000110871		ENSG00000143612
	ENSG00000137491		ENSG00000011052	ENSG00000206874	ENSG00000143612	ENSG00000201675	ENSG00000135114		ENSG00000160752
	ENSG00000085433		ENSG00000151366	ENSG00000201675	ENSG00000163344	ENSG00000207424	ENSG00000136480		ENSG00000125459
	ENSG00000136026		ENSG00000076248	ENSG00000207424	ENSG00000163374	ENSG00000206653	ENSG00000089053		ENSG00000196189
	ENSG00000197780		ENSG00000181610	ENSG00000206653	ENSG00000027869	ENSG00000200851	ENSG00000091583		ENSG00000189030
	ENSG00000015413		ENSG00000110921	ENSG00000200851	ENSG00000132681		ENSG00000139714		ENSG00000132702
	ENSG00000149260		ENSG00000139437		ENSG00000122218		ENSG00000204671		ENSG00000143294
	ENSG00000075035		ENSG00000119979		ENSG00000034971		ENSG00000158113		ENSG00000187800
